date,open,high,low,close,Volume
30.08.2013 15:00:00.000 GMT+0200,0.85357,0.85385,0.85190,0.85303,25455.2506
30.08.2013 19:00:00.000 GMT+0200,0.85303,0.85344,0.85192,0.85220,13135.54
30.08.2013 23:00:00.000 GMT+0200,0.85220,0.85220,0.85220,0.85220,0
31.08.2013 03:00:00.000 GMT+0200,0.85220,0.85220,0.85220,0.85220,0
31.08.2013 07:00:00.000 GMT+0200,0.85220,0.85220,0.85220,0.85220,0
31.08.2013 11:00:00.000 GMT+0200,0.85220,0.85220,0.85220,0.85220,0
31.08.2013 15:00:00.000 GMT+0200,0.85220,0.85220,0.85220,0.85220,0
31.08.2013 19:00:00.000 GMT+0200,0.85220,0.85220,0.85220,0.85220,0
31.08.2013 23:00:00.000 GMT+0200,0.85220,0.85220,0.85220,0.85220,0
01.09.2013 03:00:00.000 GMT+0200,0.85220,0.85220,0.85220,0.85220,0
01.09.2013 07:00:00.000 GMT+0200,0.85220,0.85220,0.85220,0.85220,0
01.09.2013 11:00:00.000 GMT+0200,0.85220,0.85220,0.85220,0.85220,0
01.09.2013 15:00:00.000 GMT+0200,0.85220,0.85220,0.85220,0.85220,0
01.09.2013 19:00:00.000 GMT+0200,0.85220,0.85220,0.85220,0.85220,0
01.09.2013 23:00:00.000 GMT+0200,0.85036,0.85200,0.85026,0.85077,7463.8799
02.09.2013 03:00:00.000 GMT+0200,0.85076,0.85095,0.84843,0.84871,9616.140099999999
02.09.2013 07:00:00.000 GMT+0200,0.84871,0.85032,0.84716,0.84848,25418.8503
02.09.2013 11:00:00.000 GMT+0200,0.84848,0.84906,0.84733,0.84784,19695.3003
02.09.2013 15:00:00.000 GMT+0200,0.84784,0.84940,0.84729,0.84940,14676.1601
02.09.2013 19:00:00.000 GMT+0200,0.84941,0.84944,0.84853,0.84864,5182.03
02.09.2013 23:00:00.000 GMT+0200,0.84859,0.84890,0.84796,0.84816,6829.480100000001
03.09.2013 03:00:00.000 GMT+0200,0.84816,0.84841,0.84768,0.84800,6974.7101
03.09.2013 07:00:00.000 GMT+0200,0.84799,0.84812,0.84453,0.84581,24166.369899999998
03.09.2013 11:00:00.000 GMT+0200,0.84582,0.84733,0.84530,0.84703,21640.100000000002
03.09.2013 15:00:00.000 GMT+0200,0.84704,0.84765,0.84611,0.84702,27865.159200000002
03.09.2013 19:00:00.000 GMT+0200,0.84702,0.84707,0.84580,0.84647,9622.2099
03.09.2013 23:00:00.000 GMT+0200,0.84649,0.84667,0.84590,0.84604,4557.659900000001
04.09.2013 03:00:00.000 GMT+0200,0.84603,0.84623,0.84573,0.84577,4880.34
04.09.2013 07:00:00.000 GMT+0200,0.84577,0.84629,0.84409,0.84453,20730.3101
04.09.2013 11:00:00.000 GMT+0200,0.84456,0.84474,0.84262,0.84414,23681.5396
04.09.2013 15:00:00.000 GMT+0200,0.84414,0.84519,0.84353,0.84513,24197.939700000003
04.09.2013 19:00:00.000 GMT+0200,0.84510,0.84549,0.84480,0.84513,9873.0399
04.09.2013 23:00:00.000 GMT+0200,0.84513,0.84534,0.84474,0.84508,5967.35
05.09.2013 03:00:00.000 GMT+0200,0.84508,0.84536,0.84453,0.84467,4468.4800000000005
05.09.2013 07:00:00.000 GMT+0200,0.84468,0.84515,0.84303,0.84437,19691.5395
05.09.2013 11:00:00.000 GMT+0200,0.84437,0.84647,0.84090,0.84153,31957.4107
05.09.2013 15:00:00.000 GMT+0200,0.84153,0.84318,0.84080,0.84169,30847.1997
05.09.2013 19:00:00.000 GMT+0200,0.84169,0.84176,0.84111,0.84150,9411.5597
05.09.2013 23:00:00.000 GMT+0200,0.84150,0.84171,0.84122,0.84130,5430.07
06.09.2013 03:00:00.000 GMT+0200,0.84129,0.84153,0.84083,0.84120,6452.42
06.09.2013 07:00:00.000 GMT+0200,0.84121,0.84319,0.84086,0.84309,17074.8597
06.09.2013 11:00:00.000 GMT+0200,0.84308,0.84329,0.83919,0.84023,30715.2197
06.09.2013 15:00:00.000 GMT+0200,0.84023,0.84288,0.83983,0.84231,29646.1999
06.09.2013 19:00:00.000 GMT+0200,0.84233,0.84350,0.84218,0.84285,10529.1301
06.09.2013 23:00:00.000 GMT+0200,0.84285,0.84285,0.84285,0.84285,0
07.09.2013 03:00:00.000 GMT+0200,0.84285,0.84285,0.84285,0.84285,0
07.09.2013 07:00:00.000 GMT+0200,0.84285,0.84285,0.84285,0.84285,0
07.09.2013 11:00:00.000 GMT+0200,0.84285,0.84285,0.84285,0.84285,0
07.09.2013 15:00:00.000 GMT+0200,0.84285,0.84285,0.84285,0.84285,0
07.09.2013 19:00:00.000 GMT+0200,0.84285,0.84285,0.84285,0.84285,0
07.09.2013 23:00:00.000 GMT+0200,0.84285,0.84285,0.84285,0.84285,0
08.09.2013 03:00:00.000 GMT+0200,0.84285,0.84285,0.84285,0.84285,0
08.09.2013 07:00:00.000 GMT+0200,0.84285,0.84285,0.84285,0.84285,0
08.09.2013 11:00:00.000 GMT+0200,0.84285,0.84285,0.84285,0.84285,0
08.09.2013 15:00:00.000 GMT+0200,0.84285,0.84285,0.84285,0.84285,0
08.09.2013 19:00:00.000 GMT+0200,0.84285,0.84285,0.84285,0.84285,0
08.09.2013 23:00:00.000 GMT+0200,0.84246,0.84318,0.84224,0.84246,8519.9199
09.09.2013 03:00:00.000 GMT+0200,0.84246,0.84278,0.84172,0.84188,5885.2999
09.09.2013 07:00:00.000 GMT+0200,0.84188,0.84258,0.84113,0.84204,15769.2902
09.09.2013 11:00:00.000 GMT+0200,0.84204,0.84205,0.84101,0.84165,18743.6599
09.09.2013 15:00:00.000 GMT+0200,0.84163,0.84495,0.84162,0.84416,26141.7901
09.09.2013 19:00:00.000 GMT+0200,0.84416,0.84481,0.84412,0.84439,8136.639999999999
09.09.2013 23:00:00.000 GMT+0200,0.84443,0.84460,0.84418,0.84433,6448.23
